sku,details,dimensions,feature_content,feature_content2,feature_content3,feature_content4,feature_title,feature_title2,feature_title3,feature_title4,name,quote,quote_author,quote_role,frame,legs,suspension,filling,material
110-LTH-BRN,,,"Our ode to mid century modern American furniture, the Freeman  creates a striking statement in any room.  A great investment for a chair with timeless design.  Two side cushions included as pictured.","Premium, American grade distressed leather, creating a one of a kind texture and quality that makes each piece unique and age beautifully over time.","Crafted from kiln dried hardwoods, the frame is built for longevity and stability.  The solid hardwood feet accentuate mid century modern design.","Plump back cushions are filled with European grade polyfiber mixed with duck down feather for sink-in comfort.  Tufted seat cushions are filled with a 4.5"" foam core wrapped in duck down feather.  ",Mid Century Modern Design,Tailored Uphostery,Built to Last,Designed for Comfort,Freeman Armchair,The Freeman Collection is classic and modern.  The sofa is comfortable for multiple people (and a dog!) and the design fits in any room!,Tracy,,Hardwood,Solid hardwood with lacquered finish,,"Back is polyfill mixed with duck down feathers.  Seat is 4.5"" foam cushion wrapped in duck down feather.",100% Cowskin Leather
110-FW-LG,,,"Our ode to mid century modern American furniture, the Freeman  creates a striking statement in any room.  A great investment for a chair with timeless design.  Two side cushions included as pictured.","Beautifully blended with polyester and polyfiber, our distinct basketweave fabric brings comfort in an easy to care for style","Crafted from kiln dried hardwoods, the frame is built for longevity and stability.  The solid hardwood feet exentuate mid century modern design.","Plump back cushions are filled with European grade polyfiber mixed with duck down feather for sink-in comfort.  Tufted seat cushions are filled with a 4.5"" foam core wrapped in duck down feather.  ",Mid Century Modern Design,Tailored Uphostery,Built to Last,Designed for Comfort,Freeman Armchair,The Freeman Collection is classic and modern.  The sofa is comfortable for multiple people (and a dog!) and the design fits in any room!,Tracy,,Hardwood,Solid hardwood with lacquered finish,,"Back is polyfill mixed with duck down feathers.  Seat is 4.5"" foam cushion wrapped in duck down feather.","55% Polyester, 45% Polyfiber"
110-FT-GRY,,,"Our ode to mid century modern American furniture, the Freeman  creates a striking statement in any room.  A great investment for a chair with timeless design.  Two side cushions included as pictured.","Woven elegantly together, our hand picked weave is rich in texture and perfectly versatile for any setting.","Crafted from kiln dried hardwoods, the frame is built for longevity and stability.  The solid hardwood feet exentuate mid century modern design.","Plump back cushions are filled with European grade polyfiber mixed with duck down feather for sink-in comfort.  Tufted seat cushions are filled with a 4.5"" foam core wrapped in duck down feather.  ",Mid Century Modern Design,Tailored Uphostery,Built to Last,Designed for Comfort,Freeman Armchair,The Freeman Collection is classic and modern.  The sofa is comfortable for multiple people (and a dog!) and the design fits in any room!,Tracy,,Hardwood,Solid hardwood with lacquered finish,,"Back is polyfill mixed with duck down feathers.  Seat is 4.5"" foam cushion wrapped in duck down feather.",100% Polyester
110-LN-OAT,,,"Our ode to mid century modern American furniture, the Freeman  creates a striking statement in any room.  A great investment for a chair with timeless design.  Two side cushions included as pictured.",Beautiful linen blended with cotton creating a super soft and comfortable texture and appearance.,"Crafted from kiln dried hardwoods, the frame is built for longevity and stability.  The solid hardwood feet exentuate mid century modern design.","Plump back cushions are filled with European grade polyfiber mixed with duck down feather for sink-in comfort.  Tufted seat cushions are filled with a 4.5"" foam core wrapped in duck down feather.  ",Mid Century Modern Design,Tailored Uphostery,Built to Last,Designed for Comfort,Freeman Armchair,The Freeman Collection is classic and modern.  The sofa is comfortable for multiple people (and a dog!) and the design fits in any room!,Tracy,,Hardwood,Solid hardwood with lacquered finish,,"Back is polyfill mixed with duck down feathers.  Seat is 4.5"" foam cushion wrapped in duck down feather.","55% Linen, 45% Cotton"
112-LTH-BRN,,,"Our ode to mid century modern American furniture, the Freeman  creates a striking statement in any room.  A great investment for a chair with timeless design.  Two side cushions included as pictured.","Premium, American grade distressed leather, creating a one of a kind texture and quality that makes each piece unique and age beautifully over time.","Crafted from kiln dried hardwoods, the frame is built for longevity and stability.  The solid hardwood feet exentuate quality and contemporary design.","Plump back cushions are filled with European grade polyfiber mixed with duck down feather for sink-in comfort.  Tufted seat cushions are filled with a 4.5"" foam core wrapped in duck down feather.  ",Mid Century Modern Design,Tailored Uphostery,Built to Last,Designed for Comfort,Freeman Ottoman,The Freeman Collection is classic and modern.  The sofa is comfortable for multiple people (and a dog!) and the design fits in any room!,Tracy,,Hardwood,,,,
112-FW-LG,,,"Our ode to mid century modern American furniture, the Freeman  creates a striking statement in any room.  A great investment for a chair with timeless design.  Two side cushions included as pictured.","Beautifully blended with polyester and polyfiber, our distinct basketweave fabric brings comfort in an easy to care for style","Crafted from kiln dried hardwoods, the frame is built for longevity and stability.  The solid hardwood feet exentuate quality and contemporary design.","Plump back cushions are filled with European grade polyfiber mixed with duck down feather for sink-in comfort.  Tufted seat cushions are filled with a 4.5"" foam core wrapped in duck down feather.  ",Mid Century Modern Design,Tailored Uphostery,Built to Last,Designed for Comfort,Freeman Ottoman,The Freeman Collection is classic and modern.  The sofa is comfortable for multiple people (and a dog!) and the design fits in any room!,Tracy,,Hardwood,,,,
112-FT-GRY,,,"Our ode to mid century modern American furniture, the Freeman  creates a striking statement in any room.  A great investment for a chair with timeless design.  Two side cushions included as pictured.","Woven elegantly together, our hand picked weave is rich in texture and perfectly versatile for any setting.","Crafted from kiln dried hardwoods, the frame is built for longevity and stability.  The solid hardwood feet exentuate quality and contemporary design.","Plump back cushions are filled with European grade polyfiber mixed with duck down feather for sink-in comfort.  Tufted seat cushions are filled with a 4.5"" foam core wrapped in duck down feather.  ",Mid Century Modern Design,Tailored Uphostery,Built to Last,Designed for Comfort,Freeman Ottoman,The Freeman Collection is classic and modern.  The sofa is comfortable for multiple people (and a dog!) and the design fits in any room!,Tracy,,Hardwood,,,,
112-LN-OAT,,,"Our ode to mid century modern American furniture, the Freeman  creates a striking statement in any room.  A great investment for a chair with timeless design.  Two side cushions included as pictured.",Beautiful linen blended with cotton creating a super soft and comfortable texture and appearance.,"Crafted from kiln dried hardwoods, the frame is built for longevity and stability.  The solid hardwood feet exentuate quality and contemporary design.","Plump back cushions are filled with European grade polyfiber mixed with duck down feather for sink-in comfort.  Tufted seat cushions are filled with a 4.5"" foam core wrapped in duck down feather.  ",Mid Century Modern Design,Tailored Uphostery,Built to Last,Designed for Comfort,Freeman Ottoman,The Freeman Collection is classic and modern.  The sofa is comfortable for multiple people (and a dog!) and the design fits in any room!,Tracy,,Hardwood,,,,
109-LTH-BRN,,,"Our ode to mid century modern American furniture, the Freeman  creates a striking statement in any room.  A great investment for a chair with timeless design.  Two side cushions included as pictured.","Premium, American grade distressed leather, creating a one of a kind texture and quality that makes each piece unique and age beautifully over time.","Crafted from kiln dried hardwoods, the frame is built for longevity and stability.  The solid hardwood feet exentuate quality and contemporary design.","Plump back cushions are filled with European grade polyfiber mixed with duck down feather for sink-in comfort.  Tufted seat cushions are filled with a 4.5"" foam core wrapped in duck down feather.  ",Mid Century Modern Design,Tailored Uphostery,Built to Last,Designed for Comfort,Freeman Sofa,The Freeman Collection is classic and modern.  The sofa is comfortable for multiple people (and a dog!) and the design fits in any room!,Tracy,,Hardwood,,,,
109-FW-LG,,,"Our ode to mid century modern American furniture, the Freeman  creates a striking statement in any room.  A great investment for a chair with timeless design.  Two side cushions included as pictured.","Beautifully blended with polyester and polyfiber, our distinct basketweave fabric brings comfort in an easy to care for style","Crafted from kiln dried hardwoods, the frame is built for longevity and stability.  The solid hardwood feet exentuate quality and contemporary design.","Plump back cushions are filled with European grade polyfiber mixed with duck down feather for sink-in comfort.  Tufted seat cushions are filled with a 4.5"" foam core wrapped in duck down feather.  ",Mid Century Modern Design,Tailored Uphostery,Built to Last,Designed for Comfort,Freeman Sofa,The Freeman Collection is classic and modern.  The sofa is comfortable for multiple people (and a dog!) and the design fits in any room!,Tracy,,Hardwood,,,,
